County,Year,Deaths,County_Name,State
"Anderson County, TN",2005.0,13.0,Anderson County, TN
"Anderson County, TN",2006.0,13.0,Anderson County, TN
"Anderson County, TN",2008.0,13.0,Anderson County, TN
"Anderson County, TN",2010.0,16.0,Anderson County, TN
"Anderson County, TN",2011.0,15.0,Anderson County, TN
"Anderson County, TN",2012.0,16.0,Anderson County, TN
"Anderson County, TN",2013.0,20.0,Anderson County, TN
"Anderson County, TN",2014.0,18.0,Anderson County, TN
"Anderson County, TN",2015.0,22.0,Anderson County, TN
"Anderson County, TX",2004.0,11.0,Anderson County, TX
"Anderson County, TX",2006.0,10.0,Anderson County, TX
"Anderson County, TX",2008.0,10.0,Anderson County, TX
"Androscoggin County, ME",2008.0,13.0,Androscoggin County, ME
"Androscoggin County, ME",2009.0,13.0,Androscoggin County, ME
"Androscoggin County, ME",2010.0,12.0,Androscoggin County, ME
"Androscoggin County, ME",2011.0,12.0,Androscoggin County, ME
"Androscoggin County, ME",2013.0,10.0,Androscoggin County, ME
"Androscoggin County, ME",2014.0,21.0,Androscoggin County, ME
"Androscoggin County, ME",2015.0,23.0,Androscoggin County, ME
"Anne Arundel County, MD",2003.0,41.0,Anne Arundel County, MD
"Anne Arundel County, MD",2004.0,53.0,Anne Arundel County, MD
"Anne Arundel County, MD",2005.0,58.0,Anne Arundel County, MD
"Anne Arundel County, MD",2006.0,61.0,Anne Arundel County, MD
"Anne Arundel County, MD",2007.0,68.0,Anne Arundel County, MD
"Anne Arundel County, MD",2008.0,70.0,Anne Arundel County, MD
"Anne Arundel County, MD",2009.0,74.0,Anne Arundel County, MD
"Anne Arundel County, MD",2010.0,59.0,Anne Arundel County, MD
"Anne Arundel County, MD",2011.0,72.0,Anne Arundel County, MD
"Anne Arundel County, MD",2012.0,75.0,Anne Arundel County, MD
"Anne Arundel County, MD",2013.0,86.0,Anne Arundel County, MD
"Anne Arundel County, MD",2014.0,111.0,Anne Arundel County, MD
"Anne Arundel County, MD",2015.0,122.0,Anne Arundel County, MD
"Anoka County, MN",2003.0,11.0,Anoka County, MN
"Anoka County, MN",2004.0,14.0,Anoka County, MN
"Anoka County, MN",2005.0,14.0,Anoka County, MN
"Anoka County, MN",2006.0,12.0,Anoka County, MN
"Anoka County, MN",2007.0,16.0,Anoka County, MN
"Anoka County, MN",2008.0,13.0,Anoka County, MN
"Anoka County, MN",2009.0,18.0,Anoka County, MN
"Anoka County, MN",2010.0,26.0,Anoka County, MN
"Anoka County, MN",2011.0,35.0,Anoka County, MN
"Anoka County, MN",2012.0,36.0,Anoka County, MN
"Anoka County, MN",2013.0,33.0,Anoka County, MN
"Anoka County, MN",2014.0,22.0,Anoka County, MN
"Anoka County, MN",2015.0,22.0,Anoka County, MN
"Aransas County, TX",2006.0,10.0,Aransas County, TX
"Arapahoe County, CO",2003.0,33.0,Arapahoe County, CO
"Arapahoe County, CO",2004.0,49.0,Arapahoe County, CO
"Arapahoe County, CO",2005.0,43.0,Arapahoe County, CO
"Arapahoe County, CO",2006.0,56.0,Arapahoe County, CO
"Arapahoe County, CO",2007.0,75.0,Arapahoe County, CO
"Arapahoe County, CO",2008.0,76.0,Arapahoe County, CO
"Arapahoe County, CO",2009.0,71.0,Arapahoe County, CO
"Arapahoe County, CO",2010.0,67.0,Arapahoe County, CO
"Arapahoe County, CO",2011.0,55.0,Arapahoe County, CO
"Arapahoe County, CO",2012.0,64.0,Arapahoe County, CO
"Arapahoe County, CO",2013.0,71.0,Arapahoe County, CO
"Arapahoe County, CO",2014.0,82.0,Arapahoe County, CO
"Arapahoe County, CO",2015.0,81.0,Arapahoe County, CO
"Arlington County, VA",2015.0,14.0,Arlington County, VA
"Armstrong County, PA",2006.0,14.0,Armstrong County, PA
"Armstrong County, PA",2010.0,13.0,Armstrong County, PA
"Armstrong County, PA",2011.0,15.0,Armstrong County, PA
"Armstrong County, PA",2012.0,14.0,Armstrong County, PA
"Armstrong County, PA",2013.0,14.0,Armstrong County, PA
"Armstrong County, PA",2014.0,17.0,Armstrong County, PA
"Armstrong County, PA",2015.0,26.0,Armstrong County, PA
"Aroostook County, ME",2011.0,13.0,Aroostook County, ME
"Ascension Parish, LA",2003.0,11.0,Ascension Parish, LA
"Ascension Parish, LA",2005.0,10.0,Ascension Parish, LA
"Ascension Parish, LA",2007.0,11.0,Ascension Parish, LA
"Ascension Parish, LA",2008.0,12.0,Ascension Parish, LA
"Ascension Parish, LA",2009.0,13.0,Ascension Parish, LA
"Ascension Parish, LA",2011.0,11.0,Ascension Parish, LA
"Ascension Parish, LA",2012.0,12.0,Ascension Parish, LA
"Ascension Parish, LA",2013.0,22.0,Ascension Parish, LA
"Ascension Parish, LA",2014.0,15.0,Ascension Parish, LA
"Ascension Parish, LA",2015.0,16.0,Ascension Parish, LA
"Ashtabula County, OH",2008.0,10.0,Ashtabula County, OH
"Ashtabula County, OH",2010.0,18.0,Ashtabula County, OH
"Ashtabula County, OH",2011.0,18.0,Ashtabula County, OH
"Ashtabula County, OH",2012.0,26.0,Ashtabula County, OH
"Ashtabula County, OH",2013.0,15.0,Ashtabula County, OH
"Ashtabula County, OH",2014.0,27.0,Ashtabula County, OH
"Ashtabula County, OH",2015.0,22.0,Ashtabula County, OH
"Athens County, OH",2007.0,13.0,Athens County, OH
"Athens County, OH",2011.0,12.0,Athens County, OH
"Athens County, OH",2012.0,10.0,Athens County, OH
"Atlantic County, NJ",2003.0,34.0,Atlantic County, NJ
"Atlantic County, NJ",2004.0,40.0,Atlantic County, NJ
"Atlantic County, NJ",2005.0,35.0,Atlantic County, NJ
"Atlantic County, NJ",2006.0,35.0,Atlantic County, NJ
"Atlantic County, NJ",2007.0,26.0,Atlantic County, NJ
"Atlantic County, NJ",2008.0,31.0,Atlantic County, NJ
"Atlantic County, NJ",2009.0,12.0,Atlantic County, NJ
"Atlantic County, NJ",2010.0,35.0,Atlantic County, NJ
"Atlantic County, NJ",2011.0,52.0,Atlantic County, NJ
"Atlantic County, NJ",2012.0,62.0,Atlantic County, NJ
"Atlantic County, NJ",2013.0,64.0,Atlantic County, NJ
"Atlantic County, NJ",2014.0,56.0,Atlantic County, NJ
"Atlantic County, NJ",2015.0,58.0,Atlantic County, NJ
"Augusta County, VA",2009.0,15.0,Augusta County, VA
"Augusta County, VA",2012.0,11.0,Augusta County, VA
"Baldwin County, AL",2003.0,10.0,Baldwin County, AL
"Baldwin County, AL",2004.0,18.0,Baldwin County, AL
"Baldwin County, AL",2005.0,14.0,Baldwin County, AL
"Baldwin County, AL",2006.0,11.0,Baldwin County, AL
"Baldwin County, AL",2007.0,24.0,Baldwin County, AL
"Baldwin County, AL",2008.0,19.0,Baldwin County, AL
"Baldwin County, AL",2009.0,29.0,Baldwin County, AL
"Baldwin County, AL",2010.0,24.0,Baldwin County, AL
"Baldwin County, AL",2011.0,23.0,Baldwin County, AL
"Baldwin County, AL",2012.0,24.0,Baldwin County, AL
"Baldwin County, AL",2013.0,20.0,Baldwin County, AL
"Baldwin County, AL",2014.0,32.0,Baldwin County, AL
"Baldwin County, AL",2015.0,40.0,Baldwin County, AL
"Baltimore County, MD",2003.0,147.0,Baltimore County, MD
"Baltimore County, MD",2004.0,87.0,Baltimore County, MD
"Baltimore County, MD",2005.0,101.0,Baltimore County, MD
"Baltimore County, MD",2006.0,120.0,Baltimore County, MD
"Baltimore County, MD",2007.0,116.0,Baltimore County, MD
"Baltimore County, MD",2008.0,117.0,Baltimore County, MD
"Baltimore County, MD",2009.0,119.0,Baltimore County, MD
"Baltimore County, MD",2010.0,120.0,Baltimore County, MD
"Baltimore County, MD",2011.0,112.0,Baltimore County, MD
"Baltimore County, MD",2012.0,143.0,Baltimore County, MD
"Baltimore County, MD",2013.0,143.0,Baltimore County, MD
"Baltimore County, MD",2014.0,177.0,Baltimore County, MD
"Baltimore County, MD",2015.0,234.0,Baltimore County, MD
"Baltimore city, MD",2003.0,273.0,Baltimore city, MD
"Baltimore city, MD",2004.0,247.0,Baltimore city, MD
"Baltimore city, MD",2005.0,231.0,Baltimore city, MD
"Baltimore city, MD",2006.0,253.0,Baltimore city, MD
"Baltimore city, MD",2007.0,254.0,Baltimore city, MD
"Baltimore city, MD",2008.0,164.0,Baltimore city, MD
"Baltimore city, MD",2009.0,204.0,Baltimore city, MD
"Baltimore city, MD",2010.0,136.0,Baltimore city, MD
"Baltimore city, MD",2011.0,134.0,Baltimore city, MD
"Baltimore city, MD",2012.0,187.0,Baltimore city, MD
"Baltimore city, MD",2013.0,199.0,Baltimore city, MD
"Baltimore city, MD",2014.0,254.0,Baltimore city, MD
"Baltimore city, MD",2015.0,329.0,Baltimore city, MD
"Bannock County, ID",2009.0,11.0,Bannock County, ID
"Bannock County, ID",2010.0,11.0,Bannock County, ID
"Bannock County, ID",2011.0,11.0,Bannock County, ID
"Bannock County, ID",2012.0,13.0,Bannock County, ID
"Bannock County, ID",2013.0,11.0,Bannock County, ID
"Bannock County, ID",2014.0,22.0,Bannock County, ID
"Barnstable County, MA",2003.0,21.0,Barnstable County, MA
"Barnstable County, MA",2004.0,21.0,Barnstable County, MA
"Barnstable County, MA",2005.0,20.0,Barnstable County, MA
"Barnstable County, MA",2006.0,28.0,Barnstable County, MA
"Barnstable County, MA",2007.0,37.0,Barnstable County, MA
"Barnstable County, MA",2008.0,26.0,Barnstable County, MA
"Barnstable County, MA",2009.0,25.0,Barnstable County, MA
"Barnstable County, MA",2010.0,24.0,Barnstable County, MA
"Barnstable County, MA",2011.0,18.0,Barnstable County, MA
"Barnstable County, MA",2012.0,20.0,Barnstable County, MA
"Barnstable County, MA",2013.0,41.0,Barnstable County, MA
"Barnstable County, MA",2014.0,48.0,Barnstable County, MA
"Barnstable County, MA",2015.0,62.0,Barnstable County, MA
"Barrow County, GA",2006.0,10.0,Barrow County, GA
"Barrow County, GA",2008.0,10.0,Barrow County, GA
"Barrow County, GA",2010.0,12.0,Barrow County, GA
"Barrow County, GA",2012.0,10.0,Barrow County, GA
"Barrow County, GA",2014.0,11.0,Barrow County, GA
"Bartholomew County, IN",2007.0,10.0,Bartholomew County, IN
"Bartholomew County, IN",2008.0,14.0,Bartholomew County, IN
"Bartholomew County, IN",2010.0,14.0,Bartholomew County, IN
"Bartholomew County, IN",2014.0,10.0,Bartholomew County, IN
"Bartow County, GA",2004.0,13.0,Bartow County, GA
"Bartow County, GA",2008.0,14.0,Bartow County, GA
"Bartow County, GA",2010.0,20.0,Bartow County, GA
"Bartow County, GA",2011.0,17.0,Bartow County, GA
"Bartow County, GA",2012.0,13.0,Bartow County, GA
"Bartow County, GA",2014.0,16.0,Bartow County, GA
"Bartow County, GA",2015.0,18.0,Bartow County, GA
"Bastrop County, TX",2013.0,10.0,Bastrop County, TX
"Bath County, KY",2008.0,11.0,Bath County, KY
"Bay County, FL",2003.0,21.0,Bay County, FL
"Bay County, FL",2004.0,18.0,Bay County, FL
"Bay County, FL",2005.0,17.0,Bay County, FL
"Bay County, FL",2006.0,34.0,Bay County, FL
"Bay County, FL",2007.0,30.0,Bay County, FL
"Bay County, FL",2008.0,23.0,Bay County, FL
"Bay County, FL",2009.0,18.0,Bay County, FL
"Bay County, FL",2010.0,22.0,Bay County, FL
"Bay County, FL",2012.0,15.0,Bay County, FL
"Bay County, FL",2013.0,19.0,Bay County, FL
"Bay County, FL",2014.0,22.0,Bay County, FL
"Bay County, FL",2015.0,25.0,Bay County, FL
"Bay County, MI",2006.0,13.0,Bay County, MI
"Bay County, MI",2007.0,12.0,Bay County, MI
"Bay County, MI",2008.0,17.0,Bay County, MI
"Bay County, MI",2009.0,14.0,Bay County, MI
"Bay County, MI",2010.0,11.0,Bay County, MI
"Bay County, MI",2011.0,20.0,Bay County, MI
"Bay County, MI",2012.0,21.0,Bay County, MI
"Bay County, MI",2013.0,17.0,Bay County, MI
"Bay County, MI",2014.0,13.0,Bay County, MI
"Bay County, MI",2015.0,21.0,Bay County, MI
"Beaufort County, SC",2010.0,11.0,Beaufort County, SC
"Beaufort County, SC",2011.0,13.0,Beaufort County, SC
"Beaufort County, SC",2013.0,11.0,Beaufort County, SC
"Beaufort County, SC",2014.0,10.0,Beaufort County, SC
"Beaver County, PA",2003.0,20.0,Beaver County, PA
"Beaver County, PA",2004.0,18.0,Beaver County, PA
"Beaver County, PA",2005.0,14.0,Beaver County, PA
"Beaver County, PA",2006.0,17.0,Beaver County, PA
"Beaver County, PA",2007.0,20.0,Beaver County, PA
"Beaver County, PA",2008.0,18.0,Beaver County, PA
"Beaver County, PA",2009.0,26.0,Beaver County, PA
"Beaver County, PA",2010.0,24.0,Beaver County, PA
"Beaver County, PA",2011.0,33.0,Beaver County, PA
"Beaver County, PA",2012.0,31.0,Beaver County, PA
"Beaver County, PA",2013.0,41.0,Beaver County, PA
"Beaver County, PA",2014.0,34.0,Beaver County, PA
"Beaver County, PA",2015.0,34.0,Beaver County, PA
"Bedford County, PA",2003.0,11.0,Bedford County, PA
"Bedford County, PA",2009.0,11.0,Bedford County, PA
"Bedford County, VA",2013.0,11.0,Bedford County, VA
"Bedford city, VA",2015.0,0.0,Bedford city, VA
"Belknap County, NH",2007.0,13.0,Belknap County, NH
"Belknap County, NH",2014.0,10.0,Belknap County, NH
"Belknap County, NH",2015.0,16.0,Belknap County, NH
"Bell County, KY",2003.0,15.0,Bell County, KY
"Bell County, KY",2004.0,15.0,Bell County, KY
"Bell County, KY",2005.0,17.0,Bell County, KY
"Bell County, KY",2006.0,10.0,Bell County, KY
"Bell County, KY",2007.0,13.0,Bell County, KY
"Bell County, KY",2008.0,13.0,Bell County, KY
"Bell County, KY",2009.0,11.0,Bell County, KY
"Bell County, KY",2010.0,24.0,Bell County, KY
"Bell County, KY",2011.0,11.0,Bell County, KY
"Bell County, KY",2013.0,23.0,Bell County, KY
"Bell County, KY",2015.0,17.0,Bell County, KY
"Bell County, TX",2005.0,10.0,Bell County, TX
"Bell County, TX",2006.0,10.0,Bell County, TX
"Bell County, TX",2007.0,10.0,Bell County, TX
"Bell County, TX",2009.0,11.0,Bell County, TX
"Bell County, TX",2010.0,22.0,Bell County, TX
"Bell County, TX",2011.0,20.0,Bell County, TX
"Bell County, TX",2012.0,26.0,Bell County, TX
"Bell County, TX",2013.0,19.0,Bell County, TX
"Bell County, TX",2014.0,17.0,Bell County, TX
"Bell County, TX",2015.0,23.0,Bell County, TX
"Belmont County, OH",2012.0,10.0,Belmont County, OH
"Belmont County, OH",2014.0,14.0,Belmont County, OH
"Belmont County, OH",2015.0,18.0,Belmont County, OH
"Benton County, AR",2005.0,10.0,Benton County, AR
"Benton County, AR",2006.0,10.0,Benton County, AR
"Benton County, AR",2007.0,13.0,Benton County, AR
"Benton County, AR",2008.0,12.0,Benton County, AR
"Benton County, AR",2009.0,15.0,Benton County, AR
"Benton County, AR",2010.0,20.0,Benton County, AR
"Benton County, AR",2011.0,18.0,Benton County, AR
"Benton County, AR",2012.0,19.0,Benton County, AR
"Benton County, AR",2013.0,11.0,Benton County, AR
"Benton County, AR",2014.0,19.0,Benton County, AR
"Benton County, AR",2015.0,20.0,Benton County, AR
"Benton County, TN",2013.0,10.0,Benton County, TN
"Benton County, WA",2003.0,10.0,Benton County, WA
"Benton County, WA",2004.0,12.0,Benton County, WA
"Benton County, WA",2005.0,13.0,Benton County, WA
"Benton County, WA",2006.0,16.0,Benton County, WA
"Benton County, WA",2007.0,17.0,Benton County, WA
"Benton County, WA",2008.0,10.0,Benton County, WA
"Benton County, WA",2009.0,17.0,Benton County, WA
"Benton County, WA",2010.0,10.0,Benton County, WA
"Benton County, WA",2011.0,16.0,Benton County, WA
"Benton County, WA",2012.0,16.0,Benton County, WA
"Benton County, WA",2013.0,18.0,Benton County, WA
"Benton County, WA",2014.0,20.0,Benton County, WA
"Benton County, WA",2015.0,28.0,Benton County, WA
"Bergen County, NJ",2003.0,44.0,Bergen County, NJ
"Bergen County, NJ",2004.0,32.0,Bergen County, NJ
"Bergen County, NJ",2005.0,48.0,Bergen County, NJ
"Bergen County, NJ",2006.0,46.0,Bergen County, NJ
"Bergen County, NJ",2007.0,43.0,Bergen County, NJ
"Bergen County, NJ",2008.0,49.0,Bergen County, NJ
"Bergen County, NJ",2010.0,38.0,Bergen County, NJ
"Bergen County, NJ",2011.0,57.0,Bergen County, NJ
"Bergen County, NJ",2012.0,66.0,Bergen County, NJ
"Bergen County, NJ",2013.0,84.0,Bergen County, NJ
"Bergen County, NJ",2014.0,79.0,Bergen County, NJ
"Bergen County, NJ",2015.0,82.0,Bergen County, NJ
"Berkeley County, SC",2004.0,10.0,Berkeley County, SC
"Berkeley County, SC",2005.0,13.0,Berkeley County, SC
"Berkeley County, SC",2006.0,12.0,Berkeley County, SC
"Berkeley County, SC",2007.0,11.0,Berkeley County, SC
"Berkeley County, SC",2008.0,15.0,Berkeley County, SC
"Berkeley County, SC",2009.0,11.0,Berkeley County, SC
"Berkeley County, SC",2010.0,22.0,Berkeley County, SC
"Berkeley County, SC",2011.0,16.0,Berkeley County, SC
"Berkeley County, SC",2012.0,19.0,Berkeley County, SC
"Berkeley County, SC",2013.0,25.0,Berkeley County, SC
"Berkeley County, SC",2014.0,23.0,Berkeley County, SC
"Berkeley County, SC",2015.0,25.0,Berkeley County, SC
"Berkeley County, WV",2003.0,17.0,Berkeley County, WV
"Berkeley County, WV",2005.0,10.0,Berkeley County, WV
"Berkeley County, WV",2007.0,12.0,Berkeley County, WV
"Berkeley County, WV",2008.0,19.0,Berkeley County, WV
"Berkeley County, WV",2009.0,15.0,Berkeley County, WV
"Berkeley County, WV",2010.0,17.0,Berkeley County, WV
"Berkeley County, WV",2011.0,26.0,Berkeley County, WV
"Berkeley County, WV",2012.0,27.0,Berkeley County, WV
"Berkeley County, WV",2013.0,40.0,Berkeley County, WV
"Berkeley County, WV",2014.0,39.0,Berkeley County, WV
"Berkeley County, WV",2015.0,39.0,Berkeley County, WV
"Berks County, PA",2003.0,27.0,Berks County, PA
"Berks County, PA",2004.0,22.0,Berks County, PA
"Berks County, PA",2005.0,27.0,Berks County, PA
"Berks County, PA",2006.0,40.0,Berks County, PA
"Berks County, PA",2007.0,30.0,Berks County, PA
"Berks County, PA",2008.0,38.0,Berks County, PA
"Berks County, PA",2009.0,52.0,Berks County, PA
"Berks County, PA",2010.0,49.0,Berks County, PA
"Berks County, PA",2011.0,55.0,Berks County, PA
"Berks County, PA",2012.0,40.0,Berks County, PA
"Berks County, PA",2013.0,43.0,Berks County, PA
"Berks County, PA",2014.0,58.0,Berks County, PA
"Berks County, PA",2015.0,42.0,Berks County, PA
