County,County Code,Year,Drug/Alcohol Induced Cause,Drug/Alcohol Induced Cause Code,Deaths
"Mendocino County, CA",6045.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Merced County, CA",6047.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Monterey County, CA",6053.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Napa County, CA",6055.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Orange County, CA",6059.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,152.0
"Orange County, CA",6059.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16.0
"Orange County, CA",6059.0,2003.0,All other drug-induced causes,D9,10.0
"Placer County, CA",6061.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Riverside County, CA",6065.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,128.0
"Riverside County, CA",6065.0,2003.0,All other drug-induced causes,D9,24.0
"Sacramento County, CA",6067.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,111.0
"Sacramento County, CA",6067.0,2003.0,All other drug-induced causes,D9,20.0
"San Bernardino County, CA",6071.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"San Bernardino County, CA",6071.0,2003.0,All other drug-induced causes,D9,103.0
"San Diego County, CA",6073.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,222.0
"San Diego County, CA",6073.0,2003.0,All other drug-induced causes,D9,18.0
"San Francisco County, CA",6075.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,91.0
"San Francisco County, CA",6075.0,2003.0,All other drug-induced causes,D9,33.0
"San Joaquin County, CA",6077.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
"San Joaquin County, CA",6077.0,2003.0,All other drug-induced causes,D9,22.0
"San Luis Obispo County, CA",6079.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"San Mateo County, CA",6081.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"Santa Barbara County, CA",6083.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Santa Barbara County, CA",6083.0,2003.0,All other drug-induced causes,D9,12.0
"Santa Clara County, CA",6085.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,55.0
"Santa Cruz County, CA",6087.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Santa Cruz County, CA",6087.0,2003.0,All other drug-induced causes,D9,10.0
"Shasta County, CA",6089.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Solano County, CA",6095.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Sonoma County, CA",6097.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
"Stanislaus County, CA",6099.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,67.0
"Tulare County, CA",6107.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Ventura County, CA",6111.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,73.0
"Adams County, CO",8001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,32.0
"Arapahoe County, CO",8005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
"Boulder County, CO",8013.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Denver County, CO",8031.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,97.0
"El Paso County, CO",8041.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
"Jefferson County, CO",8059.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Jefferson County, CO",8059.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Larimer County, CO",8069.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Pueblo County, CO",8101.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Weld County, CO",8123.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Fairfield County, CT",9001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,53.0
"Hartford County, CT",9003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,65.0
"Hartford County, CT",9003.0,2003.0,All other drug-induced causes,D9,11.0
"Litchfield County, CT",9005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"New Haven County, CT",9009.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,70.0
"New London County, CT",9011.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Windham County, CT",9015.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Kent County, DE",10001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"New Castle County, DE",10003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,41.0
"District of Columbia, DC",11001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,90.0
"District of Columbia, DC",11001.0,2003.0,All other drug-induced causes,D9,16.0
"Alachua County, FL",12001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Bay County, FL",12005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Brevard County, FL",12009.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0
"Broward County, FL",12011.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,170.0
"Citrus County, FL",12017.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Clay County, FL",12019.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Collier County, FL",12021.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Duval County, FL",12031.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,107.0
"Escambia County, FL",12033.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"Hernando County, FL",12053.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Highlands County, FL",12055.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Hillsborough County, FL",12057.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,114.0
"Hillsborough County, FL",12057.0,2003.0,All other drug-induced causes,D9,12.0
"Indian River County, FL",12061.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Lake County, FL",12069.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Lee County, FL",12071.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,61.0
"Leon County, FL",12073.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Manatee County, FL",12081.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
"Marion County, FL",12083.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
"Martin County, FL",12085.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Miami-Dade County, FL",12086.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,82.0
"Miami-Dade County, FL",12086.0,2003.0,All other drug-induced causes,D9,17.0
"Monroe County, FL",12087.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Okaloosa County, FL",12091.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Orange County, FL",12095.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,83.0
"Osceola County, FL",12097.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Palm Beach County, FL",12099.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,175.0
"Pasco County, FL",12101.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,52.0
"Pinellas County, FL",12103.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,112.0
"Polk County, FL",12105.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
"St. Lucie County, FL",12111.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Santa Rosa County, FL",12113.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Sarasota County, FL",12115.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
"Seminole County, FL",12117.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,33.0
"Volusia County, FL",12127.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0
"Bibb County, GA",13021.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Cherokee County, GA",13057.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Clayton County, GA",13063.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Cobb County, GA",13067.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0
"DeKalb County, GA",13089.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"DeKalb County, GA",13089.0,2003.0,All other drug-induced causes,D9,14.0
"Fulton County, GA",13121.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,62.0
"Fulton County, GA",13121.0,2003.0,All other drug-induced causes,D9,13.0
"Gwinnett County, GA",13135.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Muscogee County, GA",13215.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Richmond County, GA",13245.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Rockdale County, GA",13247.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Hawaii County, HI",15001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Honolulu County, HI",15003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
"Ada County, ID",16001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Cook County, IL",17031.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,410.0
"Cook County, IL",17031.0,2003.0,All other drug-induced causes,D9,11.0
"DuPage County, IL",17043.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0
"Lake County, IL",17097.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,27.0
"McHenry County, IL",17111.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"McLean County, IL",17113.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Madison County, IL",17119.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Will County, IL",17197.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Winnebago County, IL",17201.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Clark County, IN",18019.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Delaware County, IN",18035.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
"Lake County, IN",18089.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Lake County, IN",18089.0,2003.0,All other drug-induced causes,D9,18.0
"Madison County, IN",18095.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Marion County, IN",18097.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,53.0
"Marion County, IN",18097.0,2003.0,All other drug-induced causes,D9,21.0
"Vanderburgh County, IN",18163.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Polk County, IA",19153.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Johnson County, KS",20091.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,17.0
"Sedgwick County, KS",20173.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,46.0
"Bell County, KY",21013.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Boone County, KY",21015.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Campbell County, KY",21037.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Fayette County, KY",21067.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Floyd County, KY",21071.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Harlan County, KY",21095.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Jefferson County, KY",21111.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,72.0
"Kenton County, KY",21117.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,21.0
"Kenton County, KY",21117.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Madison County, KY",21151.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Perry County, KY",21193.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Pike County, KY",21195.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Warren County, KY",21227.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Whitley County, KY",21235.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Acadia Parish, LA",22001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Ascension Parish, LA",22005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Bossier Parish, LA",22015.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Caddo Parish, LA",22017.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Calcasieu Parish, LA",22019.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,25.0
"East Baton Rouge Parish, LA",22033.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,22.0
"Jefferson Parish, LA",22051.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0
"Lafayette Parish, LA",22055.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,24.0
"Livingston Parish, LA",22063.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Orleans Parish, LA",22071.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Orleans Parish, LA",22071.0,2003.0,All other drug-induced causes,D9,49.0
"St. Bernard Parish, LA",22087.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,29.0
"St. Landry Parish, LA",22097.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"St. Tammany Parish, LA",22103.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"Terrebonne Parish, LA",22109.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Cumberland County, ME",23005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Penobscot County, ME",23019.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"York County, ME",23031.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,16.0
"Allegany County, MD",24001.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,15.0
"Anne Arundel County, MD",24003.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,41.0
"Baltimore County, MD",24005.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,137.0
"Baltimore County, MD",24005.0,2003.0,All other drug-induced causes,D9,10.0
"Carroll County, MD",24013.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,23.0
"Cecil County, MD",24015.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,13.0
"Frederick County, MD",24021.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Harford County, MD",24025.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,37.0
"Howard County, MD",24027.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,17.0
"Montgomery County, MD",24031.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,28.0
"Prince George's County, MD",24033.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Prince George's County, MD",24033.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,38.0
"Prince George's County, MD",24033.0,2003.0,All other drug-induced causes,D9,10.0
"Baltimore city, MD",24510.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,253.0
"Baltimore city, MD",24510.0,2003.0,All other drug-induced causes,D9,20.0
"Barnstable County, MA",25001.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,21.0
"Bristol County, MA",25005.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,99.0
"Bristol County, MA",25005.0,2003.0,All other drug-induced causes,D9,11.0
"Essex County, MA",25009.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,10.0
"Essex County, MA",25009.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,89.0
"Hampden County, MA",25013.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,50.0
"Hampshire County, MA",25015.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Middlesex County, MA",25017.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"Middlesex County, MA",25017.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,121.0
"Middlesex County, MA",25017.0,2003.0,All other drug-induced causes,D9,13.0
"Norfolk County, MA",25021.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,41.0
"Plymouth County, MA",25023.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,48.0
"Suffolk County, MA",25025.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Suffolk County, MA",25025.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,117.0
"Worcester County, MA",25027.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,66.0
"Worcester County, MA",25027.0,2003.0,All other drug-induced causes,D9,12.0
"Calhoun County, MI",26025.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Genesee County, MI",26049.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Genesee County, MI",26049.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,22.0
"Ingham County, MI",26065.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Kalamazoo County, MI",26077.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Kent County, MI",26081.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,31.0
"Macomb County, MI",26099.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Macomb County, MI",26099.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,52.0
"Macomb County, MI",26099.0,2003.0,All other drug-induced causes,D9,24.0
"Muskegon County, MI",26121.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Oakland County, MI",26125.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,56.0
"Oakland County, MI",26125.0,2003.0,All other drug-induced causes,D9,40.0
"Saginaw County, MI",26145.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,16.0
"St. Clair County, MI",26147.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0
"Washtenaw County, MI",26161.0,2003.0,All other drug-induced causes,D9,15.0
"Wayne County, MI",26163.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,132.0
"Wayne County, MI",26163.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,26.0
"Wayne County, MI",26163.0,2003.0,All other drug-induced causes,D9,160.0
"Anoka County, MN",27003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Hennepin County, MN",27053.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,50.0
"Hennepin County, MN",27053.0,2003.0,All other drug-induced causes,D9,19.0
"Ramsey County, MN",27123.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"St. Louis County, MN",27137.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Hancock County, MS",28045.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Harrison County, MS",28047.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,29.0
"Jackson County, MS",28059.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Boone County, MO",29019.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Clay County, MO",29047.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,20.0
"Greene County, MO",29077.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,40.0
"Jackson County, MO",29095.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,48.0
"Jefferson County, MO",29099.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,13.0
"St. Charles County, MO",29183.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"St. Francois County, MO",29187.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"St. Louis County, MO",29189.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
"St. Louis city, MO",29510.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0
"Missoula County, MT",30063.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,11.0
"Yellowstone County, MT",30111.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,11.0
"Clark County, NV",32003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,206.0
"Washoe County, NV",32031.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,36.0
"Washoe County, NV",32031.0,2003.0,Drug poisonings (overdose) Undetermined (Y10-Y14),D4,10.0
"Hillsborough County, NH",33011.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,23.0
"Merrimack County, NH",33013.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Rockingham County, NH",33015.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,19.0
"Strafford County, NH",33017.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,12.0
"Atlantic County, NJ",34001.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0
"Bergen County, NJ",34003.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,44.0
"Burlington County, NJ",34005.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,26.0
"Camden County, NJ",34007.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,49.0
"Cumberland County, NJ",34011.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,14.0
"Essex County, NJ",34013.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,86.0
"Essex County, NJ",34013.0,2003.0,All other drug-induced causes,D9,22.0
"Gloucester County, NJ",34015.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,25.0
"Hudson County, NJ",34017.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,47.0
"Mercer County, NJ",34021.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,15.0
"Middlesex County, NJ",34023.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,45.0
"Monmouth County, NJ",34025.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,42.0
"Morris County, NJ",34027.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,30.0
"Ocean County, NJ",34029.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,34.0
"Passaic County, NJ",34031.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,28.0
"Somerset County, NJ",34035.0,2003.0,Drug poisonings (overdose) Unintentional (X40-X44),D1,18.0
