Year,Deaths,County_Name,State
2004.0,135.0,Alameda County, CA
2005.0,144.0,Alameda County, CA
2006.0,160.0,Alameda County, CA
2007.0,163.0,Alameda County, CA
2008.0,135.0,Alameda County, CA
2009.0,129.0,Alameda County, CA
2010.0,106.0,Alameda County, CA
2011.0,139.0,Alameda County, CA
2012.0,115.0,Alameda County, CA
2013.0,150.0,Alameda County, CA
2014.0,142.0,Alameda County, CA
2015.0,188.0,Alameda County, CA
2006.0,11.0,Albany County, NY
2007.0,28.0,Albany County, NY
2008.0,15.0,Albany County, NY
2009.0,10.0,Albany County, NY
2010.0,24.0,Albany County, NY
2011.0,26.0,Albany County, NY
2012.0,13.0,Albany County, NY
2013.0,29.0,Albany County, NY
2014.0,25.0,Albany County, NY
2015.0,27.0,Albany County, NY
2009.0,11.0,Alexander County, NC
2015.0,11.0,Alexander County, NC
2009.0,12.0,Alexandria city, VA
2015.0,11.0,Alexandria city, VA
2007.0,17.0,Allegan County, MI
2009.0,12.0,Allegan County, MI
2013.0,10.0,Allegan County, MI
2014.0,21.0,Allegan County, MI
2003.0,15.0,Allegany County, MD
2006.0,12.0,Allegany County, MD
2011.0,10.0,Allegany County, MD
2015.0,11.0,Allegany County, MD
2003.0,186.0,Allegheny County, PA
2004.0,173.0,Allegheny County, PA
2005.0,188.0,Allegheny County, PA
2006.0,137.0,Allegheny County, PA
2007.0,195.0,Allegheny County, PA
2008.0,211.0,Allegheny County, PA
2009.0,195.0,Allegheny County, PA
2010.0,213.0,Allegheny County, PA
2011.0,229.0,Allegheny County, PA
2012.0,258.0,Allegheny County, PA
2013.0,249.0,Allegheny County, PA
2014.0,289.0,Allegheny County, PA
2015.0,398.0,Allegheny County, PA
2004.0,20.0,Allen County, IN
2005.0,24.0,Allen County, IN
2006.0,19.0,Allen County, IN
2007.0,18.0,Allen County, IN
2008.0,22.0,Allen County, IN
2009.0,31.0,Allen County, IN
2010.0,33.0,Allen County, IN
2011.0,25.0,Allen County, IN
2012.0,33.0,Allen County, IN
2013.0,47.0,Allen County, IN
2014.0,39.0,Allen County, IN
2015.0,57.0,Allen County, IN
2012.0,14.0,Allen County, OH
2013.0,15.0,Allen County, OH
2014.0,12.0,Allen County, OH
2015.0,18.0,Allen County, OH
2009.0,13.0,Amador County, CA
2014.0,11.0,Amador County, CA
2003.0,31.0,Anchorage Borough, AK
2004.0,26.0,Anchorage Borough, AK
2005.0,28.0,Anchorage Borough, AK
2006.0,24.0,Anchorage Borough, AK
2007.0,37.0,Anchorage Borough, AK
2008.0,56.0,Anchorage Borough, AK
2009.0,46.0,Anchorage Borough, AK
2010.0,33.0,Anchorage Borough, AK
2011.0,47.0,Anchorage Borough, AK
2012.0,54.0,Anchorage Borough, AK
2013.0,44.0,Anchorage Borough, AK
2014.0,48.0,Anchorage Borough, AK
2015.0,52.0,Anchorage Borough, AK
2003.0,12.0,Anderson County, SC
2004.0,18.0,Anderson County, SC
2005.0,19.0,Anderson County, SC
2006.0,18.0,Anderson County, SC
2007.0,25.0,Anderson County, SC
2008.0,29.0,Anderson County, SC
2009.0,41.0,Anderson County, SC
2010.0,33.0,Anderson County, SC
2011.0,32.0,Anderson County, SC
2012.0,28.0,Anderson County, SC
2013.0,26.0,Anderson County, SC
2014.0,35.0,Anderson County, SC
2015.0,39.0,Anderson County, SC
2003.0,10.0,Anderson County, TN
2005.0,13.0,Anderson County, TN
2006.0,13.0,Anderson County, TN
2008.0,13.0,Anderson County, TN
2010.0,16.0,Anderson County, TN
2011.0,15.0,Anderson County, TN
2012.0,16.0,Anderson County, TN
2013.0,20.0,Anderson County, TN
2014.0,18.0,Anderson County, TN
2015.0,22.0,Anderson County, TN
2004.0,11.0,Anderson County, TX
2006.0,10.0,Anderson County, TX
2008.0,10.0,Anderson County, TX
2008.0,13.0,Androscoggin County, ME
2009.0,13.0,Androscoggin County, ME
2010.0,12.0,Androscoggin County, ME
2011.0,12.0,Androscoggin County, ME
2013.0,10.0,Androscoggin County, ME
2014.0,21.0,Androscoggin County, ME
2015.0,23.0,Androscoggin County, ME
2003.0,41.0,Anne Arundel County, MD
2004.0,53.0,Anne Arundel County, MD
2005.0,58.0,Anne Arundel County, MD
2006.0,61.0,Anne Arundel County, MD
2007.0,68.0,Anne Arundel County, MD
2008.0,70.0,Anne Arundel County, MD
2009.0,74.0,Anne Arundel County, MD
2010.0,59.0,Anne Arundel County, MD
2011.0,72.0,Anne Arundel County, MD
2012.0,75.0,Anne Arundel County, MD
2013.0,86.0,Anne Arundel County, MD
2014.0,111.0,Anne Arundel County, MD
2015.0,122.0,Anne Arundel County, MD
2003.0,11.0,Anoka County, MN
2004.0,14.0,Anoka County, MN
2005.0,14.0,Anoka County, MN
2006.0,12.0,Anoka County, MN
2007.0,16.0,Anoka County, MN
2008.0,13.0,Anoka County, MN
2009.0,18.0,Anoka County, MN
2010.0,26.0,Anoka County, MN
2011.0,35.0,Anoka County, MN
2012.0,36.0,Anoka County, MN
2013.0,33.0,Anoka County, MN
2014.0,22.0,Anoka County, MN
2015.0,22.0,Anoka County, MN
2006.0,10.0,Aransas County, TX
2003.0,33.0,Arapahoe County, CO
2004.0,49.0,Arapahoe County, CO
2005.0,43.0,Arapahoe County, CO
2006.0,56.0,Arapahoe County, CO
2007.0,75.0,Arapahoe County, CO
2008.0,76.0,Arapahoe County, CO
2009.0,71.0,Arapahoe County, CO
2010.0,67.0,Arapahoe County, CO
2011.0,55.0,Arapahoe County, CO
2012.0,64.0,Arapahoe County, CO
2013.0,71.0,Arapahoe County, CO
2014.0,82.0,Arapahoe County, CO
2015.0,81.0,Arapahoe County, CO
2015.0,14.0,Arlington County, VA
2006.0,14.0,Armstrong County, PA
2010.0,13.0,Armstrong County, PA
2011.0,15.0,Armstrong County, PA
2012.0,14.0,Armstrong County, PA
2013.0,14.0,Armstrong County, PA
2014.0,17.0,Armstrong County, PA
2015.0,26.0,Armstrong County, PA
2011.0,13.0,Aroostook County, ME
2003.0,11.0,Ascension Parish, LA
2005.0,10.0,Ascension Parish, LA
2007.0,11.0,Ascension Parish, LA
2008.0,12.0,Ascension Parish, LA
2009.0,13.0,Ascension Parish, LA
2011.0,11.0,Ascension Parish, LA
2012.0,12.0,Ascension Parish, LA
2013.0,22.0,Ascension Parish, LA
2014.0,15.0,Ascension Parish, LA
2015.0,16.0,Ascension Parish, LA
2008.0,10.0,Ashtabula County, OH
2010.0,18.0,Ashtabula County, OH
2011.0,18.0,Ashtabula County, OH
2012.0,26.0,Ashtabula County, OH
2013.0,15.0,Ashtabula County, OH
2014.0,27.0,Ashtabula County, OH
2015.0,22.0,Ashtabula County, OH
2007.0,13.0,Athens County, OH
2011.0,12.0,Athens County, OH
2012.0,10.0,Athens County, OH
2003.0,34.0,Atlantic County, NJ
2004.0,40.0,Atlantic County, NJ
2005.0,35.0,Atlantic County, NJ
2006.0,35.0,Atlantic County, NJ
2007.0,26.0,Atlantic County, NJ
2008.0,31.0,Atlantic County, NJ
2009.0,12.0,Atlantic County, NJ
2010.0,35.0,Atlantic County, NJ
2011.0,52.0,Atlantic County, NJ
2012.0,62.0,Atlantic County, NJ
2013.0,64.0,Atlantic County, NJ
2014.0,56.0,Atlantic County, NJ
2015.0,58.0,Atlantic County, NJ
2009.0,15.0,Augusta County, VA
2012.0,11.0,Augusta County, VA
2003.0,10.0,Baldwin County, AL
2004.0,18.0,Baldwin County, AL
2005.0,14.0,Baldwin County, AL
2006.0,11.0,Baldwin County, AL
2007.0,24.0,Baldwin County, AL
2008.0,19.0,Baldwin County, AL
2009.0,29.0,Baldwin County, AL
2010.0,24.0,Baldwin County, AL
2011.0,23.0,Baldwin County, AL
2012.0,24.0,Baldwin County, AL
2013.0,20.0,Baldwin County, AL
2014.0,32.0,Baldwin County, AL
2015.0,40.0,Baldwin County, AL
2003.0,147.0,Baltimore County, MD
2004.0,87.0,Baltimore County, MD
2005.0,101.0,Baltimore County, MD
2006.0,120.0,Baltimore County, MD
2007.0,116.0,Baltimore County, MD
2008.0,117.0,Baltimore County, MD
2009.0,119.0,Baltimore County, MD
2010.0,120.0,Baltimore County, MD
2011.0,112.0,Baltimore County, MD
2012.0,143.0,Baltimore County, MD
2013.0,143.0,Baltimore County, MD
2014.0,177.0,Baltimore County, MD
2015.0,234.0,Baltimore County, MD
2003.0,273.0,Baltimore city, MD
2004.0,247.0,Baltimore city, MD
2005.0,231.0,Baltimore city, MD
2006.0,253.0,Baltimore city, MD
2007.0,254.0,Baltimore city, MD
2008.0,164.0,Baltimore city, MD
2009.0,204.0,Baltimore city, MD
2010.0,136.0,Baltimore city, MD
2011.0,134.0,Baltimore city, MD
2012.0,187.0,Baltimore city, MD
2013.0,199.0,Baltimore city, MD
2014.0,254.0,Baltimore city, MD
2015.0,329.0,Baltimore city, MD
2009.0,11.0,Bannock County, ID
2010.0,11.0,Bannock County, ID
2011.0,11.0,Bannock County, ID
2012.0,13.0,Bannock County, ID
2013.0,11.0,Bannock County, ID
2014.0,22.0,Bannock County, ID
2003.0,21.0,Barnstable County, MA
2004.0,21.0,Barnstable County, MA
2005.0,20.0,Barnstable County, MA
2006.0,28.0,Barnstable County, MA
2007.0,37.0,Barnstable County, MA
2008.0,26.0,Barnstable County, MA
2009.0,25.0,Barnstable County, MA
2010.0,24.0,Barnstable County, MA
2011.0,18.0,Barnstable County, MA
2012.0,20.0,Barnstable County, MA
2013.0,41.0,Barnstable County, MA
2014.0,48.0,Barnstable County, MA
2015.0,62.0,Barnstable County, MA
2006.0,10.0,Barrow County, GA
2008.0,10.0,Barrow County, GA
2010.0,12.0,Barrow County, GA
2012.0,10.0,Barrow County, GA
2014.0,11.0,Barrow County, GA
2007.0,10.0,Bartholomew County, IN
2008.0,14.0,Bartholomew County, IN
2010.0,14.0,Bartholomew County, IN
2014.0,10.0,Bartholomew County, IN
2004.0,13.0,Bartow County, GA
2008.0,14.0,Bartow County, GA
2010.0,20.0,Bartow County, GA
2011.0,17.0,Bartow County, GA
2012.0,13.0,Bartow County, GA
2014.0,16.0,Bartow County, GA
2015.0,18.0,Bartow County, GA
2013.0,10.0,Bastrop County, TX
2008.0,11.0,Bath County, KY
2003.0,21.0,Bay County, FL
2004.0,18.0,Bay County, FL
2005.0,17.0,Bay County, FL
2006.0,34.0,Bay County, FL
2007.0,30.0,Bay County, FL
2008.0,23.0,Bay County, FL
2009.0,18.0,Bay County, FL
2010.0,22.0,Bay County, FL
2012.0,15.0,Bay County, FL
2013.0,19.0,Bay County, FL
2014.0,22.0,Bay County, FL
2015.0,25.0,Bay County, FL
2006.0,13.0,Bay County, MI
2007.0,12.0,Bay County, MI
2008.0,17.0,Bay County, MI
2009.0,14.0,Bay County, MI
2010.0,11.0,Bay County, MI
2011.0,20.0,Bay County, MI
2012.0,21.0,Bay County, MI
2013.0,17.0,Bay County, MI
2014.0,13.0,Bay County, MI
2015.0,21.0,Bay County, MI
2010.0,11.0,Beaufort County, SC
2011.0,13.0,Beaufort County, SC
2013.0,11.0,Beaufort County, SC
2014.0,10.0,Beaufort County, SC
2003.0,20.0,Beaver County, PA
2004.0,18.0,Beaver County, PA
2005.0,14.0,Beaver County, PA
2006.0,17.0,Beaver County, PA
2007.0,20.0,Beaver County, PA
2008.0,18.0,Beaver County, PA
2009.0,26.0,Beaver County, PA
2010.0,24.0,Beaver County, PA
2011.0,33.0,Beaver County, PA
2012.0,31.0,Beaver County, PA
2013.0,41.0,Beaver County, PA
2014.0,34.0,Beaver County, PA
2015.0,34.0,Beaver County, PA
2003.0,11.0,Bedford County, PA
2009.0,11.0,Bedford County, PA
2013.0,11.0,Bedford County, VA
2015.0,0.0,Bedford city, VA
2007.0,13.0,Belknap County, NH
2014.0,10.0,Belknap County, NH
2015.0,16.0,Belknap County, NH
2003.0,15.0,Bell County, KY
2004.0,15.0,Bell County, KY
2005.0,17.0,Bell County, KY
2006.0,10.0,Bell County, KY
2007.0,13.0,Bell County, KY
2008.0,13.0,Bell County, KY
2009.0,11.0,Bell County, KY
2010.0,24.0,Bell County, KY
2011.0,11.0,Bell County, KY
2013.0,23.0,Bell County, KY
2015.0,17.0,Bell County, KY
2005.0,10.0,Bell County, TX
2006.0,10.0,Bell County, TX
2007.0,10.0,Bell County, TX
2009.0,11.0,Bell County, TX
2010.0,22.0,Bell County, TX
2011.0,20.0,Bell County, TX
2012.0,26.0,Bell County, TX
2013.0,19.0,Bell County, TX
2014.0,17.0,Bell County, TX
2015.0,23.0,Bell County, TX
2012.0,10.0,Belmont County, OH
2014.0,14.0,Belmont County, OH
2015.0,18.0,Belmont County, OH
2005.0,10.0,Benton County, AR
2006.0,10.0,Benton County, AR
2007.0,13.0,Benton County, AR
2008.0,12.0,Benton County, AR
2009.0,15.0,Benton County, AR
2010.0,20.0,Benton County, AR
2011.0,18.0,Benton County, AR
2012.0,19.0,Benton County, AR
2013.0,11.0,Benton County, AR
2014.0,19.0,Benton County, AR
2015.0,20.0,Benton County, AR
2013.0,10.0,Benton County, TN
2003.0,10.0,Benton County, WA
2004.0,12.0,Benton County, WA
2005.0,13.0,Benton County, WA
2006.0,16.0,Benton County, WA
2007.0,17.0,Benton County, WA
2008.0,10.0,Benton County, WA
2009.0,17.0,Benton County, WA
2010.0,10.0,Benton County, WA
2011.0,16.0,Benton County, WA
2012.0,16.0,Benton County, WA
2013.0,18.0,Benton County, WA
2014.0,20.0,Benton County, WA
2015.0,28.0,Benton County, WA
2003.0,44.0,Bergen County, NJ
2004.0,32.0,Bergen County, NJ
2005.0,48.0,Bergen County, NJ
2006.0,46.0,Bergen County, NJ
2007.0,43.0,Bergen County, NJ
2008.0,49.0,Bergen County, NJ
2010.0,38.0,Bergen County, NJ
2011.0,57.0,Bergen County, NJ
2012.0,66.0,Bergen County, NJ
2013.0,84.0,Bergen County, NJ
2014.0,79.0,Bergen County, NJ
2015.0,82.0,Bergen County, NJ
2004.0,10.0,Berkeley County, SC
2005.0,13.0,Berkeley County, SC
2006.0,12.0,Berkeley County, SC
2007.0,11.0,Berkeley County, SC
2008.0,15.0,Berkeley County, SC
2009.0,11.0,Berkeley County, SC
2010.0,22.0,Berkeley County, SC
2011.0,16.0,Berkeley County, SC
2012.0,19.0,Berkeley County, SC
2013.0,25.0,Berkeley County, SC
2014.0,23.0,Berkeley County, SC
2015.0,25.0,Berkeley County, SC
2003.0,17.0,Berkeley County, WV
2005.0,10.0,Berkeley County, WV
2007.0,12.0,Berkeley County, WV
2008.0,19.0,Berkeley County, WV
2009.0,15.0,Berkeley County, WV
2010.0,17.0,Berkeley County, WV
2011.0,26.0,Berkeley County, WV
2012.0,27.0,Berkeley County, WV
2013.0,40.0,Berkeley County, WV
2014.0,39.0,Berkeley County, WV
2015.0,39.0,Berkeley County, WV
2003.0,27.0,Berks County, PA
2004.0,22.0,Berks County, PA
2005.0,27.0,Berks County, PA
2006.0,40.0,Berks County, PA
2007.0,30.0,Berks County, PA
2008.0,38.0,Berks County, PA
2009.0,52.0,Berks County, PA
2010.0,49.0,Berks County, PA
2011.0,55.0,Berks County, PA
2012.0,40.0,Berks County, PA
2013.0,43.0,Berks County, PA
2014.0,58.0,Berks County, PA
2015.0,42.0,Berks County, PA
2005.0,18.0,Berkshire County, MA
2007.0,15.0,Berkshire County, MA
2008.0,10.0,Berkshire County, MA
2009.0,16.0,Berkshire County, MA
2010.0,10.0,Berkshire County, MA
2011.0,12.0,Berkshire County, MA
2012.0,16.0,Berkshire County, MA
2013.0,19.0,Berkshire County, MA
2014.0,24.0,Berkshire County, MA
2015.0,32.0,Berkshire County, MA
2003.0,130.0,Bernalillo County, NM
2004.0,115.0,Bernalillo County, NM
2005.0,147.0,Bernalillo County, NM
2006.0,152.0,Bernalillo County, NM
2007.0,157.0,Bernalillo County, NM
2008.0,188.0,Bernalillo County, NM
2009.0,131.0,Bernalillo County, NM
2010.0,152.0,Bernalillo County, NM
2011.0,175.0,Bernalillo County, NM
2012.0,162.0,Bernalillo County, NM
2013.0,124.0,Bernalillo County, NM
2014.0,173.0,Bernalillo County, NM
2015.0,170.0,Bernalillo County, NM
2005.0,15.0,Berrien County, MI
2006.0,21.0,Berrien County, MI
2007.0,15.0,Berrien County, MI
2008.0,15.0,Berrien County, MI
2009.0,21.0,Berrien County, MI
2010.0,17.0,Berrien County, MI
2011.0,19.0,Berrien County, MI
2012.0,17.0,Berrien County, MI
2013.0,16.0,Berrien County, MI
2014.0,31.0,Berrien County, MI
2015.0,30.0,Berrien County, MI
2003.0,138.0,Bexar County, TX
2004.0,148.0,Bexar County, TX
2005.0,176.0,Bexar County, TX
2006.0,166.0,Bexar County, TX
2007.0,104.0,Bexar County, TX
2008.0,146.0,Bexar County, TX
2009.0,172.0,Bexar County, TX
2010.0,168.0,Bexar County, TX
2011.0,239.0,Bexar County, TX
2012.0,174.0,Bexar County, TX
2013.0,152.0,Bexar County, TX
2014.0,161.0,Bexar County, TX
2015.0,179.0,Bexar County, TX
2003.0,13.0,Bibb County, GA
2004.0,11.0,Bibb County, GA
2005.0,24.0,Bibb County, GA
2007.0,12.0,Bibb County, GA
2008.0,14.0,Bibb County, GA
2009.0,12.0,Bibb County, GA
2010.0,12.0,Bibb County, GA
2011.0,17.0,Bibb County, GA
2012.0,10.0,Bibb County, GA
2013.0,14.0,Bibb County, GA
2014.0,11.0,Bibb County, GA
2015.0,14.0,Bibb County, GA
2003.0,21.0,Blair County, PA
2004.0,12.0,Blair County, PA
2005.0,21.0,Blair County, PA
2006.0,18.0,Blair County, PA
2007.0,13.0,Blair County, PA
2008.0,19.0,Blair County, PA
2009.0,17.0,Blair County, PA
2011.0,22.0,Blair County, PA
2012.0,18.0,Blair County, PA
2013.0,16.0,Blair County, PA
2014.0,19.0,Blair County, PA
2015.0,35.0,Blair County, PA
2008.0,15.0,Blount County, AL
2012.0,15.0,Blount County, AL
2013.0,10.0,Blount County, AL
2014.0,11.0,Blount County, AL
2015.0,11.0,Blount County, AL
2003.0,14.0,Blount County, TN
2004.0,12.0,Blount County, TN
2005.0,16.0,Blount County, TN
2006.0,16.0,Blount County, TN
2007.0,24.0,Blount County, TN
2008.0,14.0,Blount County, TN
2009.0,17.0,Blount County, TN
2010.0,29.0,Blount County, TN
2011.0,22.0,Blount County, TN
2012.0,26.0,Blount County, TN
2013.0,22.0,Blount County, TN
2014.0,19.0,Blount County, TN
2015.0,31.0,Blount County, TN
2008.0,13.0,Bonneville County, ID
2009.0,13.0,Bonneville County, ID
2010.0,13.0,Bonneville County, ID
2011.0,12.0,Bonneville County, ID
2012.0,15.0,Bonneville County, ID
2013.0,33.0,Bonneville County, ID
2014.0,19.0,Bonneville County, ID
2015.0,27.0,Bonneville County, ID
2013.0,14.0,Boone County, IN
2015.0,11.0,Boone County, IN
2003.0,11.0,Boone County, KY
2005.0,10.0,Boone County, KY
2006.0,18.0,Boone County, KY
2007.0,18.0,Boone County, KY
2008.0,19.0,Boone County, KY
2009.0,19.0,Boone County, KY
2010.0,28.0,Boone County, KY
2011.0,20.0,Boone County, KY
2012.0,26.0,Boone County, KY
2013.0,37.0,Boone County, KY
2014.0,29.0,Boone County, KY
2015.0,47.0,Boone County, KY
2003.0,11.0,Boone County, MO
2004.0,12.0,Boone County, MO
2005.0,11.0,Boone County, MO
2006.0,17.0,Boone County, MO
2007.0,15.0,Boone County, MO
2008.0,19.0,Boone County, MO
2009.0,21.0,Boone County, MO
2010.0,22.0,Boone County, MO
2011.0,19.0,Boone County, MO
2012.0,16.0,Boone County, MO
2013.0,18.0,Boone County, MO
2014.0,12.0,Boone County, MO
2015.0,18.0,Boone County, MO
2004.0,11.0,Boone County, WV
2008.0,11.0,Boone County, WV
2010.0,17.0,Boone County, WV
2011.0,23.0,Boone County, WV
2012.0,16.0,Boone County, WV
2013.0,16.0,Boone County, WV
2014.0,22.0,Boone County, WV
2015.0,15.0,Boone County, WV
2003.0,16.0,Bossier Parish, LA
2005.0,17.0,Bossier Parish, LA
2006.0,10.0,Bossier Parish, LA
2007.0,18.0,Bossier Parish, LA
2008.0,16.0,Bossier Parish, LA
2009.0,12.0,Bossier Parish, LA
2010.0,12.0,Bossier Parish, LA
2013.0,15.0,Bossier Parish, LA
2003.0,20.0,Boulder County, CO
2004.0,20.0,Boulder County, CO
2005.0,26.0,Boulder County, CO
2006.0,29.0,Boulder County, CO
2007.0,33.0,Boulder County, CO
2008.0,33.0,Boulder County, CO
2009.0,28.0,Boulder County, CO
2010.0,16.0,Boulder County, CO
2011.0,28.0,Boulder County, CO
2012.0,23.0,Boulder County, CO
2013.0,42.0,Boulder County, CO
2014.0,33.0,Boulder County, CO
2015.0,32.0,Boulder County, CO
2008.0,24.0,Boyd County, KY
2009.0,16.0,Boyd County, KY
2010.0,21.0,Boyd County, KY
2011.0,12.0,Boyd County, KY
2012.0,10.0,Boyd County, KY
2014.0,15.0,Boyd County, KY
2015.0,20.0,Boyd County, KY
2007.0,23.0,Bradley County, TN
2008.0,13.0,Bradley County, TN
2009.0,15.0,Bradley County, TN
2010.0,21.0,Bradley County, TN
2011.0,16.0,Bradley County, TN
2012.0,21.0,Bradley County, TN
2013.0,17.0,Bradley County, TN
2014.0,24.0,Bradley County, TN
2015.0,19.0,Bradley County, TN
2003.0,13.0,Brazoria County, TX
2004.0,19.0,Brazoria County, TX
2005.0,31.0,Brazoria County, TX
2006.0,27.0,Brazoria County, TX
2007.0,22.0,Brazoria County, TX
2008.0,24.0,Brazoria County, TX
2009.0,37.0,Brazoria County, TX
2010.0,24.0,Brazoria County, TX
2011.0,36.0,Brazoria County, TX
2012.0,36.0,Brazoria County, TX
2013.0,26.0,Brazoria County, TX
2014.0,20.0,Brazoria County, TX
2015.0,29.0,Brazoria County, TX
2008.0,10.0,Brazos County, TX
2010.0,11.0,Brazos County, TX
2011.0,19.0,Brazos County, TX
2014.0,20.0,Brazos County, TX
2015.0,17.0,Brazos County, TX
2008.0,10.0,Breathitt County, KY
2010.0,11.0,Breathitt County, KY
2003.0,83.0,Brevard County, FL
2004.0,96.0,Brevard County, FL
2005.0,90.0,Brevard County, FL
2006.0,91.0,Brevard County, FL
2007.0,84.0,Brevard County, FL
2008.0,109.0,Brevard County, FL
2009.0,122.0,Brevard County, FL
2010.0,119.0,Brevard County, FL
2011.0,107.0,Brevard County, FL
2012.0,98.0,Brevard County, FL
2013.0,82.0,Brevard County, FL
2014.0,96.0,Brevard County, FL
2015.0,132.0,Brevard County, FL
2003.0,110.0,Bristol County, MA
2004.0,94.0,Bristol County, MA
2005.0,79.0,Bristol County, MA
2006.0,98.0,Bristol County, MA
2007.0,87.0,Bristol County, MA
2008.0,102.0,Bristol County, MA
2009.0,82.0,Bristol County, MA
2010.0,99.0,Bristol County, MA
2011.0,110.0,Bristol County, MA
2012.0,113.0,Bristol County, MA
2013.0,133.0,Bristol County, MA
2014.0,163.0,Bristol County, MA
2015.0,175.0,Bristol County, MA
2014.0,11.0,Bristol County, RI
2003.0,192.0,Bronx County, NY
2004.0,175.0,Bronx County, NY
2005.0,189.0,Bronx County, NY
2006.0,243.0,Bronx County, NY
2007.0,223.0,Bronx County, NY
2008.0,187.0,Bronx County, NY
2009.0,176.0,Bronx County, NY
2010.0,169.0,Bronx County, NY
2011.0,182.0,Bronx County, NY
2012.0,198.0,Bronx County, NY
2013.0,203.0,Bronx County, NY
2014.0,204.0,Bronx County, NY
2015.0,285.0,Bronx County, NY
2011.0,14.0,Brooke County, WV
2014.0,10.0,Brooke County, WV
2007.0,10.0,Broome County, NY
2008.0,12.0,Broome County, NY
2009.0,11.0,Broome County, NY
2010.0,16.0,Broome County, NY
2011.0,17.0,Broome County, NY
2012.0,16.0,Broome County, NY
2013.0,27.0,Broome County, NY
2014.0,34.0,Broome County, NY
2015.0,34.0,Broome County, NY
2003.0,170.0,Broward County, FL
2004.0,228.0,Broward County, FL
2005.0,285.0,Broward County, FL
2006.0,249.0,Broward County, FL
2007.0,242.0,Broward County, FL
2008.0,269.0,Broward County, FL
2009.0,258.0,Broward County, FL
2010.0,220.0,Broward County, FL
2011.0,186.0,Broward County, FL
2012.0,191.0,Broward County, FL
2013.0,176.0,Broward County, FL
2014.0,190.0,Broward County, FL
2015.0,252.0,Broward County, FL
2008.0,12.0,Brown County, OH
2010.0,16.0,Brown County, OH
2011.0,11.0,Brown County, OH
2012.0,13.0,Brown County, OH
2013.0,17.0,Brown County, OH
2014.0,17.0,Brown County, OH
2015.0,25.0,Brown County, OH
2004.0,11.0,Brown County, WI
2006.0,10.0,Brown County, WI
2007.0,10.0,Brown County, WI
2009.0,16.0,Brown County, WI
2010.0,11.0,Brown County, WI
2011.0,22.0,Brown County, WI
2012.0,21.0,Brown County, WI
2013.0,18.0,Brown County, WI
2014.0,20.0,Brown County, WI
2015.0,19.0,Brown County, WI
2003.0,10.0,Brunswick County, NC
2004.0,11.0,Brunswick County, NC
2005.0,17.0,Brunswick County, NC
2006.0,17.0,Brunswick County, NC
2008.0,15.0,Brunswick County, NC
2009.0,25.0,Brunswick County, NC
2010.0,20.0,Brunswick County, NC
2011.0,29.0,Brunswick County, NC
2012.0,25.0,Brunswick County, NC
2013.0,28.0,Brunswick County, NC
2014.0,20.0,Brunswick County, NC
